versenum,osis,apoc
1,'Gen.1.1',0
2,'Gen.1.2',0
3,'Gen.1.3',0
4,'Gen.1.4',0
5,'Gen.1.5',0
6,'Gen.1.6',0
7,'Gen.1.7',0
8,'Gen.1.8',0
9,'Gen.1.9',0
10,'Gen.1.10',0
11,'Gen.1.11',0
12,'Gen.1.12',0
13,'Gen.1.13',0
14,'Gen.1.14',0
15,'Gen.1.15',0
16,'Gen.1.16',0
17,'Gen.1.17',0
18,'Gen.1.18',0
19,'Gen.1.19',0
20,'Gen.1.20',0
21,'Gen.1.21',0
22,'Gen.1.22',0
23,'Gen.1.23',0
24,'Gen.1.24',0
25,'Gen.1.25',0
26,'Gen.1.26',0
27,'Gen.1.27',0
28,'Gen.1.28',0
29,'Gen.1.29',0
30,'Gen.1.30',0
31,'Gen.1.31',0
32,'Gen.2.1',0
33,'Gen.2.2',0
34,'Gen.2.3',0
35,'Gen.2.4',0
36,'Gen.2.5',0
37,'Gen.2.6',0
38,'Gen.2.7',0
39,'Gen.2.8',0
40,'Gen.2.9',0
41,'Gen.2.10',0
42,'Gen.2.11',0
43,'Gen.2.12',0
44,'Gen.2.13',0
45,'Gen.2.14',0
46,'Gen.2.15',0
47,'Gen.2.16',0
48,'Gen.2.17',0
49,'Gen.2.18',0
50,'Gen.2.19',0
51,'Gen.2.20',0
52,'Gen.2.21',0
53,'Gen.2.22',0
54,'Gen.2.23',0
55,'Gen.2.24',0
56,'Gen.2.25',0
57,'Gen.3.1',0
58,'Gen.3.2',0
59,'Gen.3.3',0
60,'Gen.3.4',0
61,'Gen.3.5',0
62,'Gen.3.6',0
63,'Gen.3.7',0
64,'Gen.3.8',0
65,'Gen.3.9',0
66,'Gen.3.10',0
67,'Gen.3.11',0
68,'Gen.3.12',0
69,'Gen.3.13',0
70,'Gen.3.14',0
71,'Gen.3.15',0
72,'Gen.3.16',0
73,'Gen.3.17',0
74,'Gen.3.18',0
75,'Gen.3.19',0
76,'Gen.3.20',0
77,'Gen.3.21',0
78,'Gen.3.22',0
79,'Gen.3.23',0
80,'Gen.3.24',0
81,'Gen.4.1',0
82,'Gen.4.2',0
83,'Gen.4.3',0
84,'Gen.4.4',0
85,'Gen.4.5',0
86,'Gen.4.6',0
87,'Gen.4.7',0
88,'Gen.4.8',0
89,'Gen.4.9',0
90,'Gen.4.10',0
91,'Gen.4.11',0
92,'Gen.4.12',0
93,'Gen.4.13',0
94,'Gen.4.14',0
95,'Gen.4.15',0
96,'Gen.4.16',0
97,'Gen.4.17',0
98,'Gen.4.18',0
99,'Gen.4.19',0
100,'Gen.4.20',0
101,'Gen.4.21',0
102,'Gen.4.22',0
103,'Gen.4.23',0
104,'Gen.4.24',0
105,'Gen.4.25',0
106,'Gen.4.26',0
107,'Gen.5.1',0
108,'Gen.5.2',0
109,'Gen.5.3',0
110,'Gen.5.4',0
111,'Gen.5.5',0
112,'Gen.5.6',0
113,'Gen.5.7',0
114,'Gen.5.8',0
115,'Gen.5.9',0
116,'Gen.5.10',0
